LEAD_ID,CAMPAÑA,BASE_ST,TIPO_ESTUDIANTE,CAMPUS,FUENTE_ORIGEN,CARRERA,FACULTAD,COLEGIO,PM,FECHA_REGISTRO,EDAD,AÑO_EGRESO,DEPARTAMENTO,PROVINCIA,DISTRITO,FECHA_PM,COLEGIO_TIPO,FECHA_ULT_VALORACION,RANGO_EDAD,RANGO_EGRESO,REG,UND,GENERO
3b6f815c-4b03-ef11-9f89-002248d309ba,2024-02,NEW REINGRESO,New Reingreso,CAX,Reciclado,PSICOLOGIA,FACULTAD DE SALUD,SAN FERNANDO,0,4/1/2024 12:00:00 AM,52,0.0,CAJAMARCA,CAJAMARCA,CAJAMARCA,,Publica,6/19/2024 12:00:00 AM,[>40],Egresos < 2016,1,WA,Masculino
41179f01-3d01-ef11-9f89-002248def836,2024-02,RECICLADOS,Nuevo,CAX,Reciclado,INGENIERIA INDUSTRIAL,FACULTAD DE INGENIERÍA,SAN FERNANDO,0,4/1/2024 12:00:00 AM,0,0.0,CAJAMARCA,CAJAMARCA,CAJAMARCA,,Privada,,[Otros],Egresos < 2016,1,PG,Femenino
3e6ec8a9-9001-ef11-9f89-00224837a329,2024-02,RECICLADOS PARA MKT DIRECTO,Nuevo,CAX,Reciclado,ADMINISTRACION,FACULTAD DE NEGOCIOS,SAN FERNANDO,0,4/1/2024 12:00:00 AM,0,2015.0,CAJAMARCA,CUTERVO,CUTERVO,,Privada,,[Otros],Egresos del 2016 al 2020,1,PG,Femenino
74da8c76-24fe-ee11-9f89-6045bd392cee,2024-02,RECICLADOS,Nuevo,CAX,Reciclado,INGENIERIA CIVIL,FACULTAD DE INGENIERÍA,SAN FERNANDO,1,4/1/2024 12:00:00 AM,18,2022.0,CAJAMARCA,CAJAMARCA,CAJAMARCA,12/08/2024 00:00:00,Privada,8/12/2024 12:00:00 AM,[18 - 22],Egresos 2023,1,PG,Masculino
704054bd-24fe-ee11-9f89-002248df6f07,2024-02,RECICLADOS,Nuevo,CAX,Reciclado,DERECHO Y CIENCIAS POLITICAS,FACULTAD DE DERECHO,SAN FERNANDO,0,4/1/2024 12:00:00 AM,22,0.0,CAJAMARCA,CAJAMARCA,CAJAMARCA,,Privada,,[18 - 22],Egresos < 2016,1,PG,Femenino
70d692c9-e0fe-ee11-9f89-000d3a88a85a,2024-02,RECICLADOS PARA MKT DIRECTO,Nuevo,CAX,Reciclado,ARQUITECTURA Y URBANISMO,FACULTAD DE ARQUITECTURA,SAN FERNANDO,0,4/1/2024 12:00:00 AM,0,0.0,CAJAMARCA,CAJAMARCA,CAJAMARCA,,Privada,,[Otros],Egresos < 2016,1,PG,Masculino
7a521c4d-8e01-ef11-9f89-6045bd397ab1,2024-02,RECICLADOS PARA MKT DIRECTO,Nuevo,CAX,Reciclado,PSICOLOGIA,FACULTAD DE SALUD,SAN FERNANDO,0,4/1/2024 12:00:00 AM,0,2023.0,CAJAMARCA,CAJAMARCA,CAJAMARCA,,Privada,,[Otros],Egresos 2024,1,PG,SIN DATO
782158c5-21fe-ee11-9f89-6045bd3c89e5,2024-02,RECICLADOS,Nuevo,CAX,Reciclado,PSICOLOGIA,FACULTAD DE SALUD,SAN FERNANDO,0,4/1/2024 12:00:00 AM,0,0.0,CAJAMARCA,CAJAMARCA,CAJAMARCA,,Privada,6/22/2024 12:00:00 AM,[Otros],Egresos < 2016,1,PG,Femenino
7e6e2c32-3401-ef11-9f8a-000d3ac1655c,2024-02,RECICLADOS,Nuevo,CAX,Reciclado,INGENIERIA INDUSTRIAL,FACULTAD DE INGENIERÍA,SAN FERNANDO,0,4/1/2024 12:00:00 AM,22,0.0,CAJAMARCA,CAJAMARCA,CAJAMARCA,,Privada,,[18 - 22],Egresos < 2016,1,PG,SIN DATO
7a0a88e5-4a03-ef11-9f89-6045bd3a4bbe,2024-02,NEW REINGRESO,New Reingreso,CAX,Reciclado,INGENIERIA DE SISTEMAS COMPUTACIONALES,FACULTAD DE INGENIERÍA,SAN FERNANDO,0,4/1/2024 12:00:00 AM,30,0.0,CAJAMARCA,CAJAMARCA,CAJAMARCA,,Privada,8/28/2024 12:00:00 AM,[26 - 30],Egresos < 2016,1,WA,Masculino
