LEAD_ID,CAMPAÑA,BASE_ST,TIPO_ESTUDIANTE,CAMPUS,FUENTE_ORIGEN,CARRERA,FACULTAD,COLEGIO,PM,FECHA_REGISTRO,EDAD,AÑO_EGRESO,DEPARTAMENTO,PROVINCIA,DISTRITO,FECHA_PM,COLEGIO_TIPO,FECHA_ULT_VALORACION,RANGO_EDAD,RANGO_EGRESO,REG,UND,GENERO
b4eb8674-8aae-f011-bbd3-6045bd39b0be,2026-01,COLEGIOS,Nuevo,OLIVOS,Colegios,ARQUITECTURA Y URBANISMO,FACULTAD DE ARQUITECTURA,TRILCE LOS OLIVOS,0,2025-10-21 12:00:00,17,2025.0,LIMA,LIMA,SAN MARTIN DE PORRES,,Privada,2025-10-27 12:00:00,[15 - 17],Egresos 2025,1,PG,SIN DATO
b4eb90e2-e38a-f011-b4cb-6045bd393fce,2026-01,RECICLADOS PARA MKT DIRECTO,Nuevo,COMAS,Reciclado,DERECHO Y CIENCIAS POLITICAS,FACULTAD DE DERECHO,LA FE DE MARIA,0,2025-09-01 12:00:00,0,0.0,LIMA,LIMA,COMAS,,Privada,,[Otros],SIN DATO,1,PG,SIN DATO
b4eba00b-0dbb-f011-bbd3-002248360445,2026-01,COLEGIOS,Nuevo,TRUX,Colegios,GASTRONOMIA Y GESTION DE RESTAURANTES,FACULTAD DE NEGOCIOS,81902,0,2025-11-06 12:00:00,17,2025.0,LA LIBERTAD,CHEPEN,PACANGA,,Publica,2025-11-07 12:00:00,[15 - 17],Egresos 2025,1,PG,SIN DATO
b4ebeae3-e88a-f011-b4cc-000d3a892587,2026-01,RECICLADOS PARA MKT DIRECTO,Nuevo,SJL,Reciclado,INGENIERIA INDUSTRIAL,FACULTAD DE INGENIERÍA,SIN DATO,0,2025-09-01 12:00:00,33,0.0,LIMA,LIMA,SAN JUAN DE LURIGANCHO,,SIN DATO,,[31 - 35],SIN DATO,1,WA,SIN DATO
b4ec3ded-b18b-f011-b4cb-000d3ac19f47,2026-01,RECICLADOS PARA MKT DIRECTO,Nuevo,TRUX,Reciclado,DERECHO Y CIENCIAS POLITICAS,FACULTAD DE DERECHO,ANTONIO RAIMONDI,0,2025-09-01 12:00:00,24,0.0,LA LIBERTAD,VIRU,CHAO,,Privada,,[23 - 25],SIN DATO,1,PG,Femenino
b4ec6c52-e227-f111-88b3-6045bd3abe3e,2026-01,NEW REINGRESO,New Reingreso,SIN DATO,Baja_Academica,SIN DATO,SIN DATO,SIN DATO,0,2026-03-24 12:00:00,0,0.0,SIN DATO,SIN DATO,SIN DATO,,SIN DATO,,[Otros],SIN DATO,1,WA,SIN DATO
b4ec71ea-05b9-f011-bbd3-002248d2d770,2026-01,BECAS,Nuevo,OLIVOS,Web,ENFERMERIA,FACULTAD DE SALUD,SIN DATO,0,2025-11-03 12:00:00,0,0.0,SIN DATO,SIN DATO,SIN DATO,,SIN DATO,2025-12-05 12:00:00,[Otros],SIN DATO,1,PG,SIN DATO
b4fc7701-9988-f011-b4cb-6045bd3c2afa,2026-01,RECICLADOS,Nuevo,VIRTUAL,Reciclado,ECONOMIA Y NEGOCIOS INTERNACIONALES,FACULTAD DE NEGOCIOS,SIN DATO,0,2025-09-01 12:00:00,0,0.0,CUSCO,SIN DATO,SIN DATO,,SIN DATO,2025-12-04 12:00:00,[Otros],SIN DATO,1,CAD,SIN DATO
b4fc9ab1-df8a-f011-b4cc-002248dfd78d,2026-01,RECICLADOS PARA MKT DIRECTO,Nuevo,CAX,Reciclado,ADMINISTRACION,FACULTAD DE NEGOCIOS,SIN DATO,0,2025-09-01 12:00:00,0,0.0,SIN DATO,SIN DATO,SIN DATO,,SIN DATO,,[Otros],SIN DATO,1,WA,Femenino
b4fc9d8f-3494-f011-b4cb-002248dfb69d,2026-01,NEW REINGRESO,New Reingreso,VIRTUAL,Reciclado,DERECHO Y CIENCIAS POLITICAS,FACULTAD DE DERECHO,GARCILASO DE LA VEGA DE CARABAYLLO,1,2025-09-01 12:00:00,23,2019.0,LIMA,LIMA,CARABAYLLO,2025-09-29,Privada,2025-09-26 12:00:00,[23 - 25],Egresos del 2017 al 2021,1,CAD,Masculino
b4fcdea6-fc8a-f011-b4cb-000d3a894aa8,2026-01,RECICLADOS PARA MKT DIRECTO,Nuevo,SJL,Reciclado,ADMINISTRACION,FACULTAD DE NEGOCIOS,SIN DATO,0,2025-09-01 12:00:00,41,2012.0,CUSCO,CUSCO,WANCHAQ,,SIN DATO,,[>40],Egresos < 2017,1,PG,SIN DATO
