COLEGIO;COLEGIO_TIPO
50123 SAN LUIS GONZAGA;Publica
50127;Publica
501273 TUPAC AMARU YAVERO;Publica
501349;Publica
501359 SAN MARTIN DE PORRAS;Publica
501419;Publica
501419 ESTRELLA;Publica
50169;Publica
50174;Publica
50176 SAN LUIS GONZAGA;Publica
50178 BERNARDO TAMBOHUACSO;Publica
50179 TAHUANTINSUYO;Publica
50180 JOSE CARLOS MARIATEGUI;Publica
5019 - AUGUSTO CAZORLA;Publica
5019 - AUGUSTO CAZORLA (CALLAO);Publica
5019 AUGUSTO CAZORLA;Publica
50190;Publica
5022 FRANCISCO IZQUIERDO RIOS;Publica
50258 SAN FRANCISCO DE ASIS;Publica
5026 JOSE MARIA ARGUEDAS;Publica
5026 JOSE MARIA ARGUEDAS (CALLAO);Publica
50276 AMAUTA;Publica
5031 CESAR VALLEJO;Publica
5031 CESAR VALLEJO (CALLAO);Publica
5033 - LAS 200 MILLAS;Publica
5033 - LAS 200 MILLAS (CALLAO);Publica
5033 LAS 200 MILLAS;Publica
50332 JOSE ANTONIO ENCINAS FRANCO;Publica
50333 MIGUEL GRAU;Publica
50354;Publica
5036 R.BELAUNDE DIEZ CANSECO;Publica
5036 R.BELAUNDE DIEZ CANSECO (CALLAO);Publica
5036 RAFAEL BELAUNDE DIEZ CANSECO;Publica
5042 - JUAN FRANCISCO DE LA BODEGA Y QUADRA;Publica
5042 JUAN FRANCISCO DE LA BODEGA Y QUADRA;Publica
5042 JUAN FRANCISCO DE LA BODEGA Y QUADRA (CALLAO);Publica
50421 AUGUSTO SALAZAR BONDY;Publica
50422 DIEGO QUISPE TITO;Publica
50429 MARIA NATIVIDAD HONOR ORTIZ DE AQUISE;Publica
50449 VIRGEN DEL CARMEN;Publica
5048 MARISCAL RAMON CASTILLA;Publica
5049 EMMA DETTMANN DE GUTIERREZ;Publica
5049 EMMA DETTMANN DE GUTIERREZ (CALLAO);Publica
50499 JUSTO BARRIONUEVO ALVAREZ;Publica
5050 SAN PEDRO;Publica
5051 VIRGEN DE FATIMA;Publica
50575 LA SALLE;Publica
50627 DE SAN FRANCISCO DE ASIS;Publica
50627 SAN FRANCISCO DE ASIS;Publica
50634 JOSE MARIA ARGUEDAS;Publica
50707 SIMON BOLIVAR;Publica
50723 CECILIA TUPAC AMARU;Publica
50731 NUESTR SEÑORA DE LA NATIVIDAD DE PROGRESO;Publica
50737 CORONEL FRANCISCO BOLOGNESI;Publica
5074 ALCIDES SPELUCIN VEGA;Publica
5076 NSTRA. SRA.DE LAS MERCEDES;Publica
5076 NSTRA. SRA.DE LAS MERCEDES (CALLAO);Publica
5076 NUESTRA SEÑORA DE LAS MERCEDES;Publica
5077 JOSE FAUSTINO SANCHEZ CARRION;Publica
5077- JOSE FAUSTINO SANCHEZ CARRION;Publica
5080 SOR ANA DE LOS ANGELES;Publica
50803;Publica
5082 SARITA COLONIA;Publica
5082 SARITA COLONIA (CALLAO);Publica
5085 RAMIRO PRIALE PRIALE;Publica
5086 POLITECNICO DE VENTANILLA;Publica
5088 HEROES DEL PACIFICO;Publica
50898 MIGUEL GRAU;Publica
5090 ANTONIA MORENO DE CACERES;Publica
50900 EDUCANDAS;Publica
5093 ANTONIO RAYMONDI;Publica
5094 NACIONES UNIDAS;Publica
5095 JULIO RAMON RIBEYRO;Publica
5095 JULIO RAMON RIBEYRO (CALLAO);Publica
5097 SAN JUAN MACIAS;Publica
5098 - KUMAMOTO;Publica
5098 KUMAMOTO;Publica
5099 RICARDO PALMA;Publica
51003 ROSARIO;Publica
51006 TUPAC AMARU;Publica
51014 ROMERITOS;Publica
51015 SAN FRANCISCO DE BORJA;Publica
51023 SAN LUIS GONZAGA;Publica
51027 JUAN DE LA CRUZ MONTES SALAS;Publica
5117 JORGE PORTOCARRERO REBAZA;Publica
5121 PEDRO PLANAS SILVA;Publica
5122 JOSE ANDRES RAZURI ESTEVEZ;Publica
5123 FRANCISCO BOLOGNESI CERVANTES;Publica
5124 LIBERTADOR SIMON BOLIVAR;Publica
5125;Publica
5125 CASUARINAS;Publica
5126;Publica
5126 LOS JAZMINES;Publica
5127 MARTIR JOSE OLAYA;Publica
5128 SAGRADO CORAZON DE MARIA;Publica
5130 PACHACUTEC;Publica
5130-3 VICTOR RAUL HAYA DE LA TORRE;Publica
5135 LA SALLE;Publica
5137;Publica
5138;Publica
5138 DEFENSORES DE LA PATRIA;Publica
5139 LAS COLINAS;Publica
5141 DIVINO MAESTRO;Publica
5142 VIRGEN DE GUADALUPE;Publica
5143 ESCUELA DE TALENTOS;Publica
5148 LAS BRISAS DE PACHACUTEC;Publica
5149;Publica
5149 SAN JUAN BAUTISTA;Publica
5150;Publica
5150 FERNANDO BELAUNDE TERRY;Publica
51501;Publica
5151 SAN JUAN BOSCO;Publica
5156 ELIAS AGUIRRE ROMERO;Publica
5165 REPUBLICA DE SUECIA;Publica
5166 BELLA AURORA;Publica
5167 VICTOR RAUL HAYA DE LA TORRE;Publica
5168;Publica
5171 TUPAC AMARU II;Publica
5172 HIJOS DE LUYA;Publica
5173 GUSTAVO MOHME LLONA;Publica
5174 JUAN PABLO II;Publica
5177 ALAMEDA DEL NORTE;Publica
5178 VICTOR ANDRES BELAUNDE;Publica
5179 LOS PINOS;Publica
5180 ABRAHAM VALDELOMAR;Publica
5182 SEÑOR DE LOS MILAGROS;Publica
5186 REPUBLICA DE JAPON;Publica
5187;Publica
52001 SANTA ROSA;Publica
52008 SANTA CRUZ;Publica
52082 HORACIO ZEBALLOS GAMEZ;Publica
53 SAN FRANCISCO DE ASIS;Publica
54106 WARMA KUYAY;Publica
56006 GAONA CISNEROS;Publica
56008 COLEGIO BOLIVARIANO DE SICUANI;Publica
56175 SAGRADO CORAZON DE JESUS;Publica
56191 INDEPENDENCIA AMERICANA;Publica
56207 RICARDO PALMA SORIANO;Publica
56218;Publica
56265;Publica
56267;Publica
56274;Publica
56275;Publica
56277 SAN ANTONIO DE PADUA;Publica
56279;Publica
56283;Publica
56285 DE ILLATUYO;Publica
56285 INCA GARCILAZO DE LA VEGA;Publica
56311;Publica
56325 INDEPENDENCIA;Publica
56370 MARIO VARGAS LLOSA;Publica
56377;Publica
56394 CESAR VALLEJO;Publica
57003 ALMIRANTE MIGUEL GRAU;Publica
57004 ROSA DE AMERICA;Publica
589;Publica
591;Publica
6 DE DICIEMBRE;Publica
60014 SANTO CRISTO BAGAZAN;Publica
60019 SAN MARTIN DE PORRES;Privada
60022 DIEGO NATAL JUAN;Publica
60022 JUAN DIEGO NATAL;Publica
60024 SAN JUAN DE MIRAFLORES;Publica
60025;Publica
60027;Publica
60034;Publica
6004 SANTIAGO ANTUNEZ DE MAYOLO;Publica
60043;Publica
60048;Publica
6005 GENERAL EMILIO SOYER CABERO;Publica
60050 REPUBLICA DE VENEZUELA;Publica
60052 GENERALISIMO JOSE DE SAN MARTIN;Publica
60053 GRAL. AUGUSTO FREYRE GARCIA;Publica
60054 JOSE SILFO ALVAN DEL CASTILLO;Publica
60055 SERAFIN FILOMENO;Publica
60057 PETRONILA PEREDA DE FERRANDO;Publica
60066 VIRGEN DE LOURDES;Publica
60069;Publica
6007;Publica
60070 JOSE CARLOS MARIATEGUI;Publica
60073;Publica
6008 JOSE ANTONIO DAPELO;Publica
60080 CARLOS P OLORTEGUI SAENZ;Publica
60080 CARLOS PATRICIO OLORTEGUI SAENZ;Publica
60082;Publica
60083;Publica
60084 CESAR VALLEJO;Publica
60087 LUCILLE GAGNE PELLERIN;Publica
60092 PADRE MEDARDO ANDRE;Publica
60093 JOSE OLAYA BALANDRA;Publica
60094;Publica
6010104 TNTE E.P. LUIS GARCIA RUIZ;Publica
601011;Publica
6010120;Publica
6010127;Publica
601014 - SANTA ROSA -YAVARI -;Publica
6010156 ANDRES AVELINO CACERES;Publica
6010156 MARISCAL ANDRES AVELINO CACERES;Publica
6010187 SAN FELIPE DEL AMAZONAS;Publica
6010194 MARIA SOCORRO MENDOZA MENDOZA;Publica
60102;Publica
6010227 CLUB DE LEONES DE LEMGO ALEMANIA;Publica
6010230 BARBARA D'ACHILLE;Publica
6010231;Publica
601025 JOSE DE SAN MARTIN;Publica
6010251;Publica
6010275 FRANCISCO SECADA VIGNETTA;Publica
601050;Publica
601051;Publica
601060;Publica
601097;Publica
60110;Publica
60113;Publica
60116;Publica
60119;Publica
60128 MARIA ANTONIETA RODRIGUEZ MACEDA;Publica
60137 SOLDADO ALFREDO VARGAS GUERRA;Publica
60138;Publica
6014;Publica
60142;Publica
601461;Publica
601486 ALEXANDER VON HUMBOLDT;Publica
601491 MADRE TERESA DE CALCUTA;Publica
601497;Publica
601515;Publica
601582 AGUSTIN RIVAS VASQUEZ;Publica
601594 REGINA LEONOR CORTES ALVARADO;Publica
6016 JESUS SALVADOR;Publica
601608;Publica
6018 INMACULADA CONCEPCION - HUARANGAL;Publica
60188 SIMON BOLIVAR;Publica
60189;Publica
6019 MARIANO MELGAR;Publica
60196 AMELIA SOUZA FREITAS DE SALAZAR;Publica
6020 MICAELA BASTIDAS;Publica
60204;Publica
6021;Publica
6023 JULIO C TELLO ROJAS;Publica
6023 JULIO C TELLO ROJAS (LURIN);Publica
60230;Publica
60239;Publica
60239 - SAN FRANCISCO;Publica
6024 JOSE MARIA ARGUEDAS;Publica
60240 - BILINGUE INTERCULTURAL;Publica
60250;Publica
60261 EL AMAUTA;Publica
60276 - EUGENIO RIVERA LOPEZ - ISLANDIA;Publica
60276 EUGENIO RIVERA LOPEZ;Publica
6028 JUAN VELASCO ALVARADO;Publica
6030 VICTOR A BELAUNDE DIEZ CANSECO;Publica
60302;Publica
60304 JORGE BASADRE GROHMAN;Publica
60310;Publica
60323;Publica
60325 - NUEVO SAN JUAN;Publica
60326;Publica
60329 - MONTERRICO;Publica
60342;Publica
60345 FRANCISCO REQUENA HERRERA;Publica
6037 INCA PACHACUTEC;Publica
6038 OLLANTAY;Publica
6039 FERNANDO CARBAJAL SEGURA;Publica
6041;Publica
6044 JORGE CHAVEZ;Publica
6045 DOLORES CAVERO DE GRAU;Publica
6047 JOSE MARIA ARGUEDAS;Publica
6048 JORGE BASADRE;Publica
6049 RICARDO PALMA;Publica
6050 JUANA ALARCO DE DAMMERT;Publica
6051 MERCEDES INDACOCHEA;Publica
6052 JOSE MARIA EGUREN;Publica
60520 MIGUEL GRAU SEMINARIO;Publica
60522 FELIPE RAMON DOCUMET SILVA;Publica
60523;Publica
60524 DAVID DAVILA VASQUEZ;Publica
60526 LA PAZ DEL MARAÑON;Publica
60528 HERMANOS PALLA;Publica
6053 SAGRADO CORAZON;Publica
60531 RVDO P. AGUSTIN ALCALA FERNANDEZ;Publica
60539;Publica
60540;Publica
60544 ELIAS AGUIRRE ROMERO;Publica
6056 SANTA ROSA ALTA;Publica
6057 VIRGEN DE LOURDES;Publica
6057 VIRGEN DE LOURDES (VILLA MARIA DEL TRIUNFO);Publica
60588;Publica
60589;Publica
6059 SAGRADO CORAZON DE JESUS;Publica
6060 JULIO CESAR TELLO;Publica
6062 PERU EEUU;Publica
60625 GUSTAVO BARTRA VALDIVIEZO;Publica
60627 CESAR VALLEJO;Publica
6063 JOSE CARLOS MARIATEGUI;Publica
60636;Publica
60637;Publica
60639;Publica
6064 FRANCISCO BOLOGNESI;Publica
6065 PERU INGLATERRA;Publica
60657 LIBERTADOR SIMON BOLIVAR;Publica
6066 VILLA EL SALVADOR;Publica
6067 JUAN VELASCO ALVARADO;Publica
6068 MANUEL GONZALES PRADA;Publica
60684;Publica
60684-CASA GRANDE;Publica
6069 PACHACUTEC;Publica
60695 NUESTRA SEÑORA DE AMAZONAS;Publica
6070 HEROES DEL ALTO CENEPA;Publica
6071 REPUBLICA FEDERAL DE ALEMANIA;Publica
6071 REPUBLICA FEDERAL DE ALEMANIA (VILLA EL SALVADOR);Publica
6073 JORGE BASADRE;Publica
60743 ENRY HERVE LINARES SOTO;Publica
60744 INGENIERA CARMELA BAOS RIOS;Publica
60756 CLAVERITO;Publica
6076 REPUBLICA DE NICARAGUA;Publica
60784 JOSE JAVIER GARCIA OLORTEGUI;Publica
60793 TUPAC AMARU;Publica
6080 ROSA DE AMERICA;Publica
60809;Publica
6081 MANUEL SCORZA TORRES;Publica
6082 LOS PROCERES;Publica
60839;Publica
6084 SAN MARTIN DE PORRES;Publica
6085 BRIGIDA SILVA DE OCHOA;Publica
6086 SANTA ISABEL;Publica
60866;Publica
6087 PABLO MARIA GUZMAN;Publica
60872 ROSA MARIA SILVA DE NOGUEIRA;Publica
6088;Publica
6088 ROSA DE SANTA MARIA DE CIENEGUILLA;Publica
6089 JORGE BASADRE GROHMANN;Publica
6090 JOSE OLAYA BALANDRA;Publica
60904 TNTE. CESAR A. LOPEZ ROJAS;Publica
6091 CESAR VALLEJO;Publica
6093 CORONEL JUAN VALER SANDOVAL;Publica
60932 GUARDIANES DE FRONTERA;Publica
6094 SANTA ROSA;Publica
60947;Publica
6096 ANTONIO RAIMONDI;Publica
6096 ANTONIO RAIMONDI;Privada
6097 MATEO PUMACAHUA;Publica
6099 PERU ESPAÑA;Publica
60993 RAMON CASTILLA Y MARQUEZADO;Publica
60995;Publica
6100 SANTA MARIA REYNA;Publica
61004;Publica
61004 JUAN PABLO II;Publica
61010 FERNANDO LORES TENAZOA;Publica
61022 JORGE BARDALES RUIZ;Publica
61023 ROSA LICENIA VELA PINEDO DE COSTA;Publica
61025 ISAURA CASIANA MAFALDO GORDON;Publica
6151 SAN LUIS GONZAGA;Publica
6152 STELLA MARIS;Publica
6152 STELLA MARIS (VILLA MARIA DEL TRIUNFO);Publica
62007 JOSE MARIA ARGUEDAS;Publica
62009 MARCELINA LOPEZ ROJAS;Publica
62017;Publica
62032;Publica
62172 JORGE ALFONSO VASQUEZ REATEGUI;Publica
62174 RVDO. PADRE JUAN JULIAN PRIMO RUIZ;Publica
62179 SAN ANTONIO DE PARINARI;Publica
62261 ATAHUALPA;Publica
623;Publica
62304 SANTA MARIA;Publica
62305 SANTA ROSA;Publica
62323;Publica
62323 IWAQUI KAMARAMPI MASHINGASHI;Publica
62463 SAN JUAN;Publica
62807 CESAR VALLEJO;Publica
62808 RICARDO PALMA;Publica
64;Publica
64005 FRANCISCO BOLOGNESI;Publica
64035 AGROPECUARIO;Publica
64041 MONSEÑOR GUSTAVO PREVOST GODARD;Publica
64059 JOSE DE SAN MARTIN;Publica
64062;Publica
64069;Publica
64082;Publica
64097 VICTOR PINEDO BARDALES;Publica
64103 TENIENTE DIEGO FERRE;Publica
64108 JOSE CARLOS MARIATEGUI;Publica
64111 SAN JUAN;Publica
64121 SAN FRANCISCO DE ASIS;Publica
64158;Publica
64203;Publica
64254;Publica
64263 ALFREDO VARGAS GUERRA;Publica
64315;Publica
64316;Publica
64321;Publica
64330 AUGUSTO DURAND;Publica
64332 JOSE CARLOS AMARINGO CHICO;Publica
64335 FRIDA SEBASTIAN CRUZ;Publica
64349;Publica
64473 BILINGUE INTERCULTURAL;Publica
64478 BILINGUE INTERCULTURAL;Publica
645;Publica
64513 ANDRES GUTIERREZ ZARATE;Publica
64564;Publica
64566 SAN JOSE;Publica
64567 JORGE COQUIS HERRERA;Publica
64594-B;Publica
64621;Publica
64647;Publica
64693 JOSE OLAYA BALANDRA;Publica
64721;Publica
64740;Publica
64746;Publica
64753 FAUSTINO MALDONADO;Publica
64789 JOSE FAUSTINO SANCHEZ CARRION;Publica
64803;Publica
64899;Publica
64912 MARKO E. JARA SCHENONE;Publica
64939-B;Publica
64999;Publica
65001 CORONEL PEDRO PORTILLO;Publica
65037 WALDEMAR SORIA RODRIGUEZ;Publica
65061;Publica
65092;Publica
65101 ENCARNACION VILLACORTA;Publica
65172 REVERENDO PADRE JOSE IGNACIO AGUERRIZABAL;Publica
66;Publica
67 JESUS NAZARENO;Publica
7;Publica
7 DE AGOSTO;Publica
7 DE JUNIO;Publica
7 DE JUNIO AGRO INDUSTRIAL;Publica
7008 SCIPION E. LLONA;Publica
7014 VASIL LEVSKI;Publica
7034 ENRIQUE NERINI COLLAZOS;Publica
7035;Publica
7037 ARIOSTO MATELLINI ESPINOZA;Publica
7038 CORAZON DE JESUS DE ARMATAMBO;Publica
7039 MANUEL SCORZA TORRES;Publica
7041 VIRGEN DE LA MERCED;Publica
7042 SANTA TERESA DE VILLA;Publica
7047 TACNA;Publica
7049 CAP. FAP JOSE A. QUIÑONES GONZALES;Publica
7049 JOSE ABELARDO QUIÑONES;Publica
7050 NICANOR RIVERA CACERES;Publica
7053 REINO DE ESPAÑA;Publica
7054;Publica
7055 TUPAC AMARU II;Publica
7057 SOBERANA ORDEN MILITAR DE MALTA;Publica
7057 SOBERANA ORDEN MILITAR DE MALTA (VILLA MARIA DEL TRIUNFO);Publica
7059 JOSE ANTONIO ENCINAS FRANCO;Publica
7060 ANDRES AVELINO CACERES;Publica
7061 HEROES DE SAN JUAN;Publica
7061 LOS HEROES DE SAN JUAN;Publica
7062 NACIONES UNIDAS;Publica
7064 MARIA AUXILIADORA;Publica
7066 ANDRES AVELINO CACERES;Publica
7067 TORIBIO SEMINARIO;Publica
7069 CESAR VALLEJO;Publica
7072 SAN MARTIN DE PORRES;Publica
7073;Publica
7073 SANTA ROSA DE LIMA;Publica
7074 LA INMACULADA;Publica
7075 JUAN PABLO II;Publica
7076 LAS BRISAS DE VILLA;Publica
7077 LOS REYES ROJOS;Publica
7077 VIRGEN DEL CARMEN;Publica
7079 RAMIRO PRIALE PRIALE;Publica
7080 JORGE BERNALES SALAS;Publica
7081 JOSE MARIA ARGUEDAS;Publica
7081 JOSE MARIA ARGUEDAS A;Publica
7082 JUAN DE ESPINOSA MEDRANO;Publica
7083 MANUEL GONZALES PRADA;Publica
7084 PERUANO SUIZO;Publica
7086 LOS PRECURSORES;Publica
7087 EL NAZARENO;Publica
7088 VGERONIMO CAFFERATA MARAZZI;Publica
7088 VICE-ALMIRANTE GERONIMO CAFFERATA MARAZZI;Publica
7089 ROMEO LUNA VICTORIA;Publica
7089 ROMEO LUNA VICTORIA (SAN BORJA);Publica
7090 FORJADORES DEL PERU;Publica
7091 REPUBLICA DEL PERU;Publica
7093 REPUBLICA DE FRANCIA;Publica
7094 SASAKAWA;Publica
7095 PERU ITALIA;Publica
7096 PRINCIPE DE ASTURIAS;Publica
7098 RODRIGO LARA BONILLA;Publica
7099 HECTOR PRETELL CARBONELL;Publica
7100;Publica
7100 REPUBLICA ALEMANA;Publica
7101;Publica
7102 SAN FRANCISCO DE ASIS;Publica
7104 RAMIRO PRIALE PRIALE;Publica
7106 VILLA LIMATAMBO;Publica
7207 MARISCAL RAMON CASTILLA;Publica
7207 MCAL.RAMON CASTILLA;Publica
7208;Publica
7213 PERUANO JAPONES;Publica
7215 NACIONES UNIDAS;Publica
7217 OLIMPIA GERALDINA MELENDEZ PERALTA;Publica
7219 ARISTOTELES;Publica
7220;Publica
7221;Publica
7221;Privada
7224 ELIAS REMIGIO AGUIRRE ROMERO;Publica
7226-562 JOSE OLAYA BALANDRA;Publica
7227 HORACIO ZEBALLOS GAMEZ;Publica
7228 PERUANO CANADIENSE;Publica
7230;Publica
7231;Publica
7232 DANIEL ALCIDES CARRION;Publica
7233 MATSU UTSUMI;Publica
7234;Publica
7236 MAX UHLE;Publica
7237 PERU VALLADOLID;Publica
7238 SOLIDARIDAD PERU ALEMANIA;Publica
7239 SANTISIMO SALVADOR;Publica
7240 JESUS DE NAZARETH;Publica
7242 DIVINO MAESTRO;Publica
7243 REY JUAN CARLOS DE BORBON;Publica
7257 MENOTTI BIFFI GARIBOTTO;Publica
7259 VICTOR R HAYA DE LA TORRE;Publica
7259 VICTOR R. HAYA DE LA TORRE;Publica
7260 SEÑOR DE LOS MILAGROS;Publica
7261 SANTA ROSA DE COLLANAC;Publica
7262 MI NUEVO PERU;Publica
7263 ROXANITA CASTRO WITTING;Publica
7265;Publica
7265;Privada
7266 LAS MERCEDES;Publica
7267 SEÑOR DE LOS MILAGROS;Publica
73 AGROPECUARIA;Publica
758 NUEVO TACABAMBA;Publica
769;Publica
7701 NUESTRA SEÑORA DEL CARMEN;Publica
7704 SANTA ROSA;Privada
7707 CRISTO REY;Privada
787 ALMIRANTE MIGUEL GRAU;Publica
8 DE DICIEMBRE;Publica
80002 ANTONIO TORRES ARAUJO;Publica
80010 RICARDO PALMA;Publica
80016 DIVINO MAESTRO;Publica
80017 ALFREDO TELLO SALAVARRIA;Publica
80018 REPUBLICA DE MEXICO;Publica
80026 HORACIO ZEVALLOS GAMEZ;Publica
80028 FRANCISCO DE ZELA;Publica
80029 MARIANO MELGAR;Publica
80030 VICTOR RAUL HAYA DE LA TORRE;Publica
80032 GENERALISIMO JOSE DE SAN MARTIN;Publica
80032 JOSE DE SAN MARTIN;Publica
80033 JOSE OLAYA BALANDRA;Publica
80036 SAN MARTIN DE PORRES;Publica
80038 SAN FRANCISCO DE ASIS;Publica
80040 DIVINO MAESTRO;Publica
80047 RAMIRO AURELIO ÑIQUE ESPIRITU;Publica
80048 JOSE EULOGIO GARRIDO;Publica
80050 JOSE FELIX BLACK;Publica
80053 JOSE OLAYA BALANDRA;Publica
80055;Publica
80055 JUAN IGNACIO GUTIERREZ FUENTES;Publica
80057 INMACULADA COMCEPCION;Publica
80057 INMACULADA CONCEPCION;Publica
80059 SEÑOR DE LOS MILAGROS;Publica
80067 CESAR ARMESTAR VALVERDE;Publica
80070 NUESTRA SEÑORA DEL PERPETUO SOCORRO;Publica
80071;Publica
80071 CHRISTIAAN NEETHLING BARNARD;Publica
80073 JOSE ABELARDO QUIÑONEZ GONZALES;Publica
80074 MARIA CARIDAD AGUERO DE ARRESSE;Publica
80075;Publica
80081 JULIO GUTIERREZ SOLARI;Publica
80084 JESUS DE NAZARETH;Publica
80085;Publica
80091;Publica
80091 SAN JOSE;Publica
80092 CARLOS WIESSE;Publica
80095 JOSE OLAYA;Publica
80096 FRANCISCO BOLOGNESI;Publica
80099;Publica
80100 JAVIER HERAUD PEREZ;Publica
80101;Publica
80102;Publica
80112 LEONCIO PRADO;Publica
80116;Publica
80118 SAN JUAN BAUTISTA;Publica
80121 SAN JUAN BAUTISTA;Publica
80128;Publica
80129 CESAR VALLEJO;Publica
80130;Publica
80132 NESTOR GASTAÑADUI SANCHEZ;Publica
80136 HORACIO ZEVALLOS GAMES;Publica
80137 MIGUEL DE CERVANTES SAAVEDRA;Publica
80138 ABELARDO GAMARRA RONDO;Publica
80140 JOSE F. SANCHEZ CARRION;Publica
80142 JUAN VELASCO ALVARADO;Publica
80143 TORIBIO RODRIGUEZ DE MENDOZA;Publica
80144;Publica
80145;Publica
80146 MANUEL GONZALES PRADA;Publica
80147 ABELARDO GAMARRA;Publica
80147 ABELARDO GAMARRA RONDO;Publica
80148 CIRO ALEGRIA;Publica
80149;Publica
80150;Publica
80150 JOSE ABELARDO QUIÑONES GONZALES;Publica
80152;Publica
80158;Publica
80161;Publica
80163;Publica
80164;Publica
80167;Publica
80168;Publica
80170;Publica
80173;Publica
80174 GRAN MARISCAL RAMON CASTILLA;Publica
80175 DANIEL ALCIDES CARRION;Publica
80177;Publica
80179 VICTOR RAUL HAYA DE LA TORRE;Publica
80181 JUAN PABLO II;Publica
80185;Publica
80186;Publica
80187;Publica
80189 ALFONSO UGARTE VERNAL;Publica
80190 SANTA ROSA;Publica
80192;Publica
80192 REYNALDO SOLANO GAMBOA;Publica
80195 REYNA DE LAS AMERICAS;Publica
80196;Publica
80196 CARLOS ENRIQUE ARMAS RAMIREZ;Publica
80199;Publica
80200 PEDRO PABLO ATUSPARIA ANGELES;Publica
80203;Publica
80207;Publica
80209;Publica
80210 AUGUSTO CESAR SALAZAR BONDY;Publica
80211 JORGE BASADRE GROHMANN;Publica
80213;Publica
80214;Publica
80214 ANTONIO JOSE BRACK EGG;Publica
80218;Publica
80220;Publica
80222 NUESTRA SEÑORA DEL CARMEN;Publica
80225;Publica
80228;Publica
80233;Publica
80238 SAN JUAN BAUTISTA;Publica
80241 VICENTE LUIS VERA MIRANDA;Publica
80242 JOSE MARIA ARGUEDAS;Publica
80244 VIRGEN DE GUADALUPE;Publica
80246 JOSE CARLOS MARIATEGUI;Publica
80249 LUIS FELIPE DE LA PUENTE;Publica
80252 MIGUEL ANGEL OTINIANO ZAVALETA;Publica
80253 JORGE ANGULO ARGOMEDO;Publica
80256 CESAR VALLEJO MENDOZA;Publica
80257;Publica
80258;Publica
80259;Publica
80261 JESUS NAZARENO;Publica
80265 JOSE BERNARDO ALCEDO;Publica
80266 GUSTAVO VEGA LOPEZ;Publica
80268;Publica
80269;Publica
80270 VIRGEN DE LA NATIVIDAD;Publica
80271 PEDRO OSWALDO CERNA VALDIVIEZO;Publica
80272 TEOFILO BENITES GIL;Publica
80277 JOSE DE LA TORRE UGARTE;Publica
80278 SAN MIGUEL;Publica
80288;Publica
80288 SAN ISIDRO;Publica
80292 DANIEL ALCIDES CARRION;Publica
80313 VICTOR RAUL HAYA DE LA TORRE;Publica
80315;Publica
80316;Publica
80318;Publica
80319;Publica
80334;Publica
80337;Publica
80351 CESAR VALLEJO;Publica
80354 MAHATMA GANDHI;Publica
80364;Publica
80371 ALFONSO ROBLES DE LA CRUZ;Publica
80372;Publica
80375;Publica
80380 VICTOR RAUL HAYA DE LA TORRE;Publica
80382 CARLOS A. OLIVARES;Publica
80399;Publica
80403;Publica
80403 CRISTO REY;Publica
80403 CRISTO REY (DUPLICADO);Publica
80406 VIRGILIO PURIZAGA AZNARAN;Publica
80407 GONZALO UGAS SALCEDO;Publica
80411 VIRGILIO PURIZAGA AZNARAN;Publica
80416 JAVIER HERAUD PEREZ;Publica
80424 ANTONIO RAYMONDI;Publica
80425 SAN JUAN BAUTISTA;Publica
80426 SAN CAYETANO;Publica
80428 SAN JOSE;Publica
80430 FRANCISCO BOLOGNESI;Publica
80435 MARTIRES DE LOS ANDES;Publica
80436;Publica
80436 VIRGEN DEL ROSARIO;Publica
80437 EUSEBIO ROMERO VASQUEZ;Publica
80438;Publica
80440 CIRO ALEGRIA BAZAN;Publica
80442 CESAR ABRAHAM VALLEJO MENDOZA;Publica
80443 SAN CLEMENTE DE ALEJANDRIA;Publica
80444 TUPAC AMARU;Publica
80445;Publica
80446 RAMON CASTILLA;Publica
80447;Publica
80449;Publica
80451;Publica
80452;Publica
80453 JAVIER HERAUD;Publica
80454 ANDRES AVELINO CACERES;Publica
80455 LUIS VALLE GOICOCHEA;Publica
80456 JOSE CARLOS MARIATEGUI;Publica
80457;Publica
80458 RICARDO PALMA;Publica
80460 GRAN PAJATEN;Publica
80463 AMO DE LA COLUMNA;Publica
80464;Publica
80464 SAN JUAN BAUTISTA;Publica
80466 RICARDO PALMA;Publica
80479 JOSE SANTOS CHOCANO;Publica
80480 RICARDO PALMA;Publica
80484;Publica
80485;Publica
80491 RICARDO PALMA;Publica
80503 SAN MARTIN;Publica
80505 MANUEL GONZALES PRADA;Publica
80507 MANUEL SCORZA;Publica
80508 RAFAEL NAVARRO GRAU;Publica
80509;Publica
80511;Publica
80519;Publica
80519 SANTA ROSA;Publica
80521 MANUEL ENCARNACION SAAVEDRA GELDRES;Publica
80528 JOSE NESTOR ESQUIVEL NUÑEZ;Publica
80531;Publica
80533 HORACIO ZEBALLOS GAMEZ;Publica
80534 CIRO ALEGRIA BAZAN;Publica
80535 SAN MARTIN DE PORRES;Publica
80537 ALFRED NOBEL;Publica
80538 JOSE CARLOS MARIATEGUI LA ACHIRA;Publica
80540;Publica
80541 NUESTRA SEÑORA DEL MONTE CARMELO;Publica
80542 JORGE BASADRE GROHMANN;Publica
80545 SAN JERONIMO;Publica
80546 MANUEL GONZALES PRADA;Publica
80549 ALFONSO BARRANTES;Publica
80551;Publica
80551 ARTEMIO ZAVALA PAREDES;Publica
80553;Publica
