COLEGIO;COLEGIO_TIPO
0147 LUIS ALBERTO GARCIA ROJAS;Publica
0148 FREDY ALIAGA CARDENAS;Publica
0148 MAESTRO VICTOR RAUL HAYA DE LA TORRE;Publica
0148 VICTOR RAUL HAYA DE LA TORRE;Publica
0149 JORGE CIEZA LACHOS;Publica
0150 HEROES DE LA BREÑA;Publica
0151 MICAELA BASTIDAS;Publica
0152 JOSE CARLOS MARIATEGUI;Publica
0152 JOSE CARLOS MARIATEGUI (SAN JUAN DE LURIGANCHO);Publica
0153 ALEJANDRO SANCHEZ ARTEAGA;Publica
0154 CARLOS NORIEGA JIMENEZ;Publica
0156;Publica
0156 EL PORVENIR;Publica
0158;Publica
0158 SANTA MARIA;Publica
0159 10 DE OCTUBRE;Publica
0161 MOISES COLONIA TRINIDAD;Publica
0162 SAN JOSE OBRERO;Publica
0163 CORONEL NESTOR ESCUDERO OTERO;Publica
0163 CORONEL NESTOR ESCUDERO OTERO (SAN JUAN DE LURIGANCHO);Publica
0164 EL AMAUTA;Publica
0167 CARLOS MIGUEL RAMIREZ SALDAÑA;Publica
0168 AMISTAD PERU JAPON;Publica
0169;Publica
0171 01 JUAN VELASCO ALVARADO;Publica
0171 02;Publica
0171 02 LAS TERRAZAS;Publica
0174;Publica
019 ISABEL SALINAS CUENCA DE ESPINOZA;Publica
0194 TEODOCIA NAVARRO VEGA;Publica
020 HILARIO CARRASCO VINCES;Publica
0206 ISAAC NEWTON;Publica
0207 FERNANDO BELAUNDE TERRY;Publica
0208 SANTIAGO ANTUNEZ DE MAYOLO;Publica
021 WILFREDO A. RICARDI CARRASCO;Publica
022 REPUBLICA DE GUATEMALA;Publica
0230;Publica
0233;Publica
0237 JOSE DE SAN MARTIN;Publica
0240;Publica
0248;Publica
025 REPUBLICA DE ECUADOR;Publica
0250 LOS HEROES DE ARICA;Publica
0255;Publica
0255 LAMAS;Publica
0271;Publica
0276 JESUS MORI LOPEZ;Publica
03 ANTENOR RIZO PATRON LEQUERICA;Publica
0302 AMADEO ZUMAETA V.;Publica
0303;Publica
0304 MARIO VARGAS LLOSA;Publica
0309 TUPAC AMARU II;Publica
0309492;Publica
031 VIRGEN DEL CARMEN;Publica
0311 INES VALERA DIAZ;Publica
0313;Publica
0313 VISTA ALEGRE;Publica
0337 ARISA LOZANO RIOS;Publica
035 HORACIO ZEVALLOS GAMEZ;Publica
0358 DANIEL ALCIDES CARRION GARCIA;Publica
0375;Publica
0376 MARIANO MELGAR Y VALDIVIESO;Publica
038 SANTOS MAXIMINA MOGOLLON ALVARADO;Publica
0383;Publica
0383 CASHNAHUASI;Publica
0398 EDUARDO PEÑA MEZA;Publica
0403 SAGRADO CORAZON DE JESUS;Publica
0407 HEROES DEL CENEPA;Publica
0410;Publica
0412;Publica
0412 ALEJANDRINA MORALES AMASIFUEN;Publica
0413;Publica
042 ALIPIO ROSALES CAMACHO;Publica
0425 CESAR VALLEJO;Publica
0426 INMACULADA CONCEPCION;Publica
0427 JOSE C.MARIATEGUI LA CHIRA;Publica
043 RICARDO PALMA;Publica
0430 SIMON BOLIVAR MATORRAS;Publica
0430 SIMON BOLIVAR PALACIOS;Publica
0431;Publica
0433 LUISA ALIAGA GONZALES;Publica
0434 DESIDERIO RUIZ SOTO;Publica
0435 JOSE BERNARDO ALCEDO RETUERTO;Publica
0436 DANIEL ALCIDES CARRION GARCIA;Publica
044 JOSE CARLOS MAREATEGUI;Publica
0444 JUAN PABLO II;Publica
0445 FRANCISCO JAVIER PASTOR RAMOS;Publica
0448 HECTOR SAAVEDRA DEL CASTILLO;Publica
044JOSE CARLOS MAREATEGUI;Publica
0456 HORACIO ZEBALLOS GAMEZ;Publica
0458;Publica
046 LOS LIBERTADORES DE AYACUCHO;Publica
046 PAUL HARRIS;Publica
046 VICTOR RAUL HAYA DE LA TORRE;Publica
046 VICTOR RAUL HAYA DE LA TORRE (ATE);Publica
0463 GUSTAVO RIVERA RIVERA;Publica
0468;Publica
047 DANIEL ALCIDES CARRION;Publica
0473 JOSE GALVEZ EGUSQUIZA;Publica
0475012;Publica
048 SANTA ROSA DE LIMA;Publica
0481 EVA ALICIA HERMOSA PILARES;Publica
050 NUESTRA SEÑORA DE LAS MERCEDES;Publica
051 VIRGEN DE FATIMA;Publica
0523 LUISA DEL CARMEN DEL AGUILA SANCHEZ;Publica
0536;Publica
0542;Publica
055 FIDEL OYOLA ROMERO;Publica
0560 ISABEL FLORES DE OLIVA;Publica
058 SIFREDO ZUÑIGA QUINTOS;Publica
0582 BLAISE PASCAL;Publica
0588 JUAN GUILLERMO CASTILLO DELGADO;Publica
0589;Publica
0591;Publica
0600 AUGUSTO SALAZAR BONDY;Publica
0633;Publica
0634;Publica
0636;Publica
0639 JORGE BASADRE GROHMANN;Publica
064;Publica
0641 RICARDO PALMA SORIANO;Publica
066 MIGUEL GRAU;Publica
0663 PABLO CHAVEZ VILLAVERDE;Publica
0670 JORGE BASADRE GROHMANN;Publica
0678 JUAN PINCHI URQUIA;Publica
0697 JOSE CARLOS MARIATEGUI;Publica
07;Publica
07 CURAHUASI;Publica
0700;Publica
0700 SAN JUAN BAUTISTA;Publica
0705 JUANITA DEL CARMEN SANCHEZ ROJAS;Publica
0707 EMILIO SAN MARTIN;Publica
0711 - JORGE BASADRE GROHOMAN;Publica
0711 JORGE BASADRE GROHOMAN;Publica
0713;Publica
0713 NUEVO CHANCHAMAYO;Publica
0714;Publica
072 SAN MARTIN DE PORRES;Publica
0721;Publica
0726 - SECUNDARIA MENORES (EX CEGECOM);Publica
0726 ARMANDO MORENO PEREZ;Publica
0740;Publica
0750 ELSA PEREA FLORES;Publica
0751 JAIME H. ROJAS CHAVEZ;Publica
0752 JOSE HERACLIDES VELA VASQUEZ;Publica
0753 LUIS A.GOMEZ GONZALES;Publica
0755 HORACIO ZEVALLOS GAMEZ;Publica
0756;Publica
0757 ALFONSO UGARTE;Publica
0758 RICARDO PALMA;Publica
0759 FRANCISCO BOLOGNESI;Publica
0760 JOSE OLAYA BALANDRA;Publica
0763 CABO EJERCITO PERUANO SANTIAGO TAPULLIMA PASHANASI;Publica
0764;Publica
0765 JOSE ANTONIO ENCINAS FRANCO;Publica
0766 RUBEN CACHIQUE SANGAMA;Publica
0767;Publica
0768 ALCIDES SPELUCIN;Publica
0769;Publica
0771 JOSE FAUSTINO SANCHEZ CARRION;Publica
0772 JOSE F. SANCHEZ CARRION;Publica
0773;Publica
0774;Publica
0775;Publica
0777 MANUEL SCORZA;Publica
0778 MANUEL ROMERO SEMINARIO;Publica
091 MARIA PARADO DE BELLIDO;Publica
093 EFRAIN ARCAYA ZEVALLOS;Publica
093 MANUELA FELICIA GOMEZ;Publica
098 EL GRAN CHILIMASA;Publica
1 DE MAYO;Publica
10 DE ABRIL DE 1882;Publica
10 DE AGOSTO;Publica
10 DE OCTUBRE;Privada
100;Publica
100 MANUEL CATALINO FARIAS MORAN;Publica
100 SANTA ELIZABETH;Publica
1001 JOSE JIMENEZ BORJA;Publica
10024 NUESTRA SEÑORA DE FATIMA;Publica
1003 REPUBLICA DE COLOMBIA;Publica
10030;Publica
10032 JULIO ARMAS LOYOLA;Publica
10035 JORGE Y ENRIQUE PISFIL VILLALOBOS;Publica
10042 MONSEÑOR JUAN TOMIS STACK;Publica
10046 SAN CARLOS;Publica
10051 SAN MARTIN DE THOURS;Publica
10053 JAVIER PEREZ DE CUELLAR;Publica
10054;Publica
10061;Publica
10063 CRUZ DE YANAHUANCA;Publica
10064;Publica
10068;Publica
10071;Publica
10082 SAGRADO CORAZON DE JESUS;Publica
10083 INDOAMERICA;Publica
10084;Publica
10086;Publica
10087;Publica
10087 NUESTRA SEÑORA VIRGEN DEL CARMEN;Publica
10094 ROSA MURO DE BARRAGAN;Publica
10094 ROSA MURO GUEVARA DE BARRAGAN;Publica
10103;Publica
10106 JUAN MANUEL ITURREGUI;Publica
10110 SARA ANTONIETA BULLON LAMADRID;Publica
10116 SEÑOR NAZARENO CAUTIVO;Publica
10117 CRUZ DE PUMACIRCA;Publica
10124 NUESTRA SEÑORA DE LOURDES;Publica
10134 FRAY MARTIN DE PORRES;Publica
10135 PEDRO RUIZ GALLO;Publica
10138 AUGUSTO CASTILLO MURO SIME;Publica
10141 - 7 DE NOVIEMBRE;Publica
10142 SAN JULIAN;Publica
10143 CRISTO REY;Publica
10146 NUESTRA SEÑORA DEL CARMEN;Publica
10149 ELMER CORTEZ SERQUEN;Publica
10151 JOSE ABELARDO QUIÑONES GONZALES;Publica
10153 CARLOS DEL CASTILLO NIÑO;Publica
10157 INCA GARCILAZO DE LA VEGA;Publica
10158 JULIO C.TELLO;Publica
10159 DANIEL ALCIDES CARRION;Publica
10161 FAUSTINO SANCHEZ CARRION;Publica
10163 JORGE BASADRE GROHMANN;Publica
10164 DIVINO NIÑO JESUS;Publica
10165 MIGUEL GRAU SEMINARIO;Publica
10167 LOS POSITOS;Publica
10168 SAN PEDRO;Publica
10169 SEÑOR DE LA DIVINA MISERICORDIA;Publica
10171 MCAL. RAMON CASTILLA;Publica
10176 DANIEL ALCIDES CARRION;Publica
10177;Publica
10178 DIVINO MAESTRO;Publica
10179 GUSTAVO MONME LLONA;Publica
10180 HERNANDO PEREZ FERNANDEZ;Publica
10181 CESAR A. VALLEJO MENDOZA;Publica
10182;Publica
10196 NUESTRA SEÑORA DEL CARMEN;Publica
10200 JESUS SERRATO MIO;Publica
10200 JESUS TEODORO SERRATO MIO;Publica
1021 REPUBLICA FEDERAL DE ALEMANIA;Publica
10212 DIVINO CRISTO DE LOS MILAGROS;Publica
10214;Publica
10224 NICANOR DE LA FUENTE SIFUENTES-NIXA;Publica
10228 ELINA VINCES LLANOS;Publica
10229 NICOLAS ZAPATA SALDARRIAGA;Publica
10232 HORACIO ZEBALLOS GAMEZ;Publica
10233 CAP. FAP. JOSE ABELARDO QUIÑONES GONZALES;Publica
10233 JOSE QUIÑONES GONZALES;Publica
1025 MARIA PARADO DE BELLIDO;Publica
1028 REPUBLICA ARGENTINA;Publica
103 INA ANTONIO RAYMONDI;Publica
103 LUIS ARMANDO CABELLO HURTADO;Publica
1030 REPUBLICA DE BOLIVIA;Publica
1035 JOSE DEL CARMEN MARIN ARISTA;Publica
10360 - SAN MARCOS;Publica
10360 SAN MARCOS;Publica
1037 RAMON ESPINOSA;Publica
104 ABELARDO SOLIS;Publica
10411;Publica
1044 MARIA REICHE NEWMANN;Publica
1047 JUANA INFANTES VERA;Publica
1049 JUANA ALARCO DE DAMMERT;Publica
105 PEDRO CORONADO ARRASCUE;Publica
1057 JOSE BAQUIJANO Y CARRILLO;Publica
1065 MARIA REICHE;Publica
107 DANIEL ALCIDES CARRION GARCIA;Publica
1070 MELITON CARVAJAL;Publica
1071 ALFONSO UGARTE;Publica
10717 JOSE MARIA ARGUEDAS;Publica
10776 JUAN VELASCO ALVARADO;Publica
10778;Publica
10778 CRUZ DE CHILCAL;Publica
10781 CRISTO REDENTOR;Publica
10785 PEDRO RUIZ GALLO;Publica
10793;Publica
10796 CARLOS AUGUSTO SALAVERRY;Publica
10797 MICAELA BASTIDAS;Publica
108;Publica
108 JAVIER PEREZ DE CUELLAR;Publica
10801 JESUS REDENTOR;Publica
10817;Publica
10823 JOSE LEONARDO ORTIZ;Publica
10832 JOSE CARLOS MARIATEGUI;Publica
10836 LA APLICACION;Publica
10841 JOSE CARLOS MARIATEGUI;Publica
1086 JESUS REDENTOR;Publica
1087 GRAL ROQUE SAENZ PEÑA;Publica
1088 FRANCISCO BOLOGNESI;Publica
10888 SEÑOR DE LOS MILAGROS;Publica
10895 MAXIMO LLAMO CONDOR;Publica
109 INCA MANCO CAPAC;Publica
10902 CORONEL FRANCISCO BOLOGNESI;Publica
10908 NAYLAMP;Publica
10923 FANNY ABANTO CALLE;Publica
10928 CORAZON DE JESUS;Publica
10931 RAMIRO PRIALE;Publica
10940 SAN ISIDRO LABRADOR;Publica
11 DE AGOSTO;Publica
110 SAN MARCOS;Publica
11009 VIRGEN DE LA MEDALLA MILAGROSA;Publica
11013 SAN ISIDRO;Publica
11014 INMACULADA CONCEPCION;Publica
11016 JUAN MEJIA BACA;Publica
11023 ABRAHAM VALDELOMAR;Publica
11025 JUAN PABLO VIZCARDO Y GUZMAN;Publica
1103 ELVIRA GARCIA Y GARCIA;Publica
11036 27 DE DICIEMBRE;Publica
1105 LA SAGRADA FAMILIA;Publica
11057 SAN LORENZO;Publica
11066 SEGUNDO MANUEL RUIZ SANCHEZ;Publica
11069 ALFONSO UGARTE BERNAL;Publica
1107 JAVIER PRADO;Publica
11080 JORGE CHAVEZ DARTNELL;Publica
11084 SAN JUAN BAUTISTA;Publica
111 SAN JOSE DE ARTESANOS;Publica
1110 REPUBLICA DE PANAMA;Publica
1112 VICTOR ANDRES BELAUNDE;Publica
11124 NUESTRA SEÑORA DE LA PAZ;Publica
11142 SAN JUAN DE LA VIÑA;Publica
11144;Publica
11144 RAMON ORELLANO BARRIOS;Publica
11153 CARLOS MARIATEGUI;Publica
11157 JOSE OLAYA BALANDRA;Publica
11185;Publica
11185 UCUPE;Publica
112 HEROES DE LA BREÑA;Publica
1120 PEDRO ADOLFO LABARTHE EFFIO;Publica
11223 FELIX TELLO ROJAS;Publica
1123 SAGRADO CORAZON DE JESUS;Publica
1124 JOSE MARTI;Publica
11245;Publica
1128 SAN LUIS;Publica
1136 JOHN F. KENNEDY;Publica
1137 JOSE ANTONIO ENCINAS;Publica
1138 JOSE ABELARDO QUIÑONES;Publica
1140 AURELIO MIRO QUESADA SOSA;Publica
1140 AURELIO MIRO QUEZADA SOSA;Publica
1146 REPUBLICA DEL PARAGUAY;Publica
1148 JUANA INFANTES VERA;Publica
115 TORIBIO RODRIGUEZ DE MENDOZA;Publica
11502 INCA GARCILAZO DE LA VEGA;Publica
11521 MARIA DE LOURDES;Publica
11526 JESUS ALFONSO TELLO MARCHENA;Publica
11527 ANTONIO RAIMONDI DELL ACQUA;Publica
11528 SEÑOR DE SIPAN;Publica
11538;Publica
